Data,Categoria,Tipo,Descricao,Valor
2024-04-09,Saúde,Fixo,Farmácia,91.83
2024-01-05,Moradia,Fixo,Aluguel,1794.28
2024-05-18,Transporte,Variável,Uber,229.83
2024-09-10,Saúde,Fixo,Farmácia,302.49
2024-11-29,Saúde,Fixo,Consulta Médica,325.3
2024-10-17,Transporte,Variável,Uber,213.38
2024-12-07,Saúde,Fixo,Academia,105.26
2024-08-28,Alimentação,Variável,Supermercado,54.23
2024-09-17,Moradia,Fixo,Aluguel,2292.1
2024-12-25,Saúde,Fixo,Consulta Médica,207.64
2024-01-10,Moradia,Fixo,Internet,217.38
2024-08-11,Lazer,Variável,Jogos,346.54
2024-11-07,Saúde,Fixo,Consulta Médica,234.52
2024-01-28,Lazer,Variável,Show,93.84
2024-01-08,Alimentação,Variável,Supermercado,317.0
2024-12-02,Saúde,Fixo,Consulta Médica,108.99
2024-07-01,Saúde,Fixo,Farmácia,284.58
2024-11-08,Lazer,Variável,Streaming,182.79
2024-02-12,Transporte,Variável,Uber,198.17
2024-02-02,Moradia,Fixo,Conta de Luz,278.77
2024-05-04,Saúde,Fixo,Academia,210.63
2024-06-19,Transporte,Variável,Gasolina,251.19
2024-04-30,Saúde,Fixo,Farmácia,85.71
2024-07-07,Moradia,Fixo,Aluguel,2405.41
2024-11-06,Lazer,Variável,Jogos,133.63
2024-09-18,Moradia,Fixo,Conta de Luz,68.71
2024-01-15,Moradia,Fixo,Condomínio,81.22
2024-11-01,Moradia,Fixo,Aluguel,2360.16
2024-03-03,Alimentação,Variável,Restaurante,183.34
2024-01-27,Alimentação,Variável,Restaurante,334.56
2024-12-09,Lazer,Variável,Streaming,168.26
2024-08-19,Transporte,Variável,Metrô,288.36
2024-06-30,Saúde,Fixo,Academia,24.52
2024-09-21,Lazer,Variável,Show,251.47
2024-07-12,Saúde,Fixo,Farmácia,63.43
2024-06-03,Saúde,Fixo,Farmácia,181.3
2024-08-11,Saúde,Fixo,Farmácia,92.42
2024-07-01,Moradia,Fixo,Condomínio,124.64
2024-04-13,Moradia,Fixo,Conta de Luz,59.32
2024-01-09,Moradia,Fixo,Aluguel,2414.57
2024-05-23,Transporte,Variável,Uber,135.13
2024-03-14,Moradia,Fixo,Internet,188.1
2024-06-27,Transporte,Variável,Metrô,97.56
2024-11-08,Saúde,Fixo,Farmácia,129.7
2024-04-07,Transporte,Variável,Metrô,94.82
2024-06-10,Lazer,Variável,Jogos,232.73
2024-06-14,Moradia,Fixo,Aluguel,1950.84
2024-01-02,Saúde,Fixo,Academia,158.68
2024-02-14,Lazer,Variável,Jogos,237.88
2024-10-06,Moradia,Fixo,Condomínio,21.17
2024-07-21,Transporte,Variável,Estacionamento,201.34
2024-02-11,Transporte,Variável,Metrô,70.23
2024-03-24,Moradia,Fixo,Conta de Luz,254.9
2024-02-20,Saúde,Fixo,Consulta Médica,45.98
2024-10-22,Lazer,Variável,Jogos,86.49
2024-08-03,Alimentação,Variável,Padaria,248.6
2024-08-26,Saúde,Fixo,Farmácia,313.2
2024-02-21,Moradia,Fixo,Aluguel,1380.47
2024-07-22,Alimentação,Variável,Restaurante,207.41
2024-04-19,Moradia,Fixo,Conta de Luz,294.13
2024-03-04,Lazer,Variável,Show,109.5
2024-10-19,Alimentação,Variável,Supermercado,174.22
2024-02-23,Saúde,Fixo,Farmácia,276.4
2024-08-18,Alimentação,Variável,Restaurante,306.81
2024-04-13,Saúde,Fixo,Consulta Médica,302.17
2024-07-28,Moradia,Fixo,Aluguel,1820.24
2024-12-01,Saúde,Fixo,Consulta Médica,185.05
2024-07-07,Saúde,Fixo,Farmácia,98.76
2024-01-07,Moradia,Fixo,Aluguel,2390.12
2024-03-18,Saúde,Fixo,Farmácia,272.58
2024-08-27,Saúde,Fixo,Farmácia,57.95
2024-07-15,Lazer,Variável,Streaming,228.01
2024-12-21,Saúde,Fixo,Consulta Médica,341.91
2024-06-16,Alimentação,Variável,Restaurante,61.04
2024-01-12,Saúde,Fixo,Consulta Médica,209.73
2024-09-05,Alimentação,Variável,Delivery,99.87
2024-06-23,Saúde,Fixo,Farmácia,217.51
2024-07-25,Alimentação,Variável,Delivery,220.15
2024-10-17,Alimentação,Variável,Padaria,31.72
2024-01-05,Transporte,Variável,Gasolina,143.86
2024-06-06,Alimentação,Variável,Delivery,304.81
2024-04-04,Alimentação,Variável,Delivery,70.98
2024-06-17,Saúde,Fixo,Farmácia,55.68
2024-07-17,Lazer,Variável,Streaming,330.39
2024-03-20,Moradia,Fixo,Condomínio,46.09
2024-03-03,Lazer,Variável,Show,340.32
2024-04-07,Transporte,Variável,Estacionamento,245.9
2024-10-15,Lazer,Variável,Streaming,266.83
2024-01-23,Alimentação,Variável,Supermercado,48.34
2024-11-19,Moradia,Fixo,Aluguel,1294.79
2024-07-15,Alimentação,Variável,Supermercado,256.29
2024-08-03,Alimentação,Variável,Restaurante,18.23
2024-08-21,Transporte,Variável,Gasolina,64.77
2024-03-23,Alimentação,Variável,Supermercado,100.91
2024-05-01,Lazer,Variável,Show,282.0
2024-12-30,Alimentação,Variável,Delivery,133.24
2024-05-12,Transporte,Variável,Metrô,310.78
2024-11-25,Transporte,Variável,Gasolina,312.99
2024-08-10,Moradia,Fixo,Conta de Luz,236.53
2024-10-17,Lazer,Variável,Streaming,15.18
2024-07-15,Transporte,Variável,Metrô,279.11
2024-03-14,Transporte,Variável,Uber,300.53
2024-02-10,Saúde,Fixo,Consulta Médica,278.48
2024-11-23,Alimentação,Variável,Restaurante,74.68
2024-06-05,Saúde,Fixo,Academia,109.43
2024-12-13,Saúde,Fixo,Consulta Médica,249.42
2024-02-02,Saúde,Fixo,Academia,172.92
2024-04-05,Saúde,Fixo,Farmácia,66.37
2024-04-15,Saúde,Fixo,Academia,321.35
2024-07-21,Alimentação,Variável,Padaria,179.46
2024-05-21,Saúde,Fixo,Academia,124.65
2024-01-21,Transporte,Variável,Estacionamento,73.12
2024-09-16,Lazer,Variável,Cinema,244.92
2024-04-07,Moradia,Fixo,Aluguel,2408.65
2024-04-07,Alimentação,Variável,Delivery,179.72
2024-06-22,Transporte,Variável,Metrô,312.23
2024-10-25,Transporte,Variável,Gasolina,342.07
2024-07-05,Moradia,Fixo,Condomínio,160.0
2024-04-27,Transporte,Variável,Metrô,49.04
2024-07-22,Saúde,Fixo,Farmácia,56.68
2024-03-11,Moradia,Fixo,Conta de Luz,310.05
2024-01-25,Moradia,Fixo,Conta de Luz,244.93
2024-09-05,Moradia,Fixo,Internet,146.56
2024-04-22,Moradia,Fixo,Conta de Luz,99.67
2024-11-24,Transporte,Variável,Metrô,303.26
2024-09-27,Moradia,Fixo,Conta de Luz,59.26
2024-09-02,Lazer,Variável,Streaming,169.56
2024-07-08,Saúde,Fixo,Consulta Médica,327.89
2024-12-23,Lazer,Variável,Jogos,314.69
2024-10-10,Alimentação,Variável,Padaria,108.02
2024-11-12,Moradia,Fixo,Conta de Luz,37.06
2024-01-18,Saúde,Fixo,Consulta Médica,28.46
2024-12-18,Lazer,Variável,Jogos,21.66
2024-12-10,Moradia,Fixo,Aluguel,1706.93
2024-06-10,Alimentação,Variável,Supermercado,124.51
2024-05-13,Moradia,Fixo,Internet,298.15
2024-02-05,Transporte,Variável,Metrô,150.27
2024-05-16,Transporte,Variável,Metrô,104.35
2024-12-27,Alimentação,Variável,Supermercado,93.8
2024-06-13,Transporte,Variável,Estacionamento,159.43
2024-01-24,Transporte,Variável,Gasolina,247.71
2024-06-02,Lazer,Variável,Jogos,75.64
2024-09-13,Lazer,Variável,Jogos,103.06
2024-04-21,Alimentação,Variável,Delivery,327.35
2024-12-12,Moradia,Fixo,Aluguel,1329.11
2024-09-03,Alimentação,Variável,Delivery,261.59
2024-10-05,Saúde,Fixo,Consulta Médica,62.05
2024-04-08,Lazer,Variável,Cinema,153.1
2024-12-12,Alimentação,Variável,Supermercado,195.19
2024-04-25,Lazer,Variável,Streaming,196.71
2024-12-03,Lazer,Variável,Streaming,188.08
2024-02-29,Lazer,Variável,Streaming,282.04
2024-02-21,Saúde,Fixo,Farmácia,284.48
2024-08-24,Lazer,Variável,Cinema,276.34
2024-02-20,Moradia,Fixo,Condomínio,127.04
2024-04-12,Transporte,Variável,Metrô,96.62
2024-02-26,Alimentação,Variável,Supermercado,222.17
2024-03-06,Saúde,Fixo,Consulta Médica,139.56
2024-11-04,Transporte,Variável,Estacionamento,56.06
2024-07-20,Lazer,Variável,Jogos,135.03
2024-12-28,Moradia,Fixo,Condomínio,307.23
2024-07-04,Saúde,Fixo,Consulta Médica,34.81
2024-06-27,Moradia,Fixo,Conta de Luz,313.31
2024-12-23,Saúde,Fixo,Farmácia,196.86
2024-10-08,Moradia,Fixo,Internet,142.44
2024-06-09,Moradia,Fixo,Condomínio,42.86
2024-08-07,Lazer,Variável,Cinema,279.37
2024-03-08,Lazer,Variável,Show,346.26
2024-11-20,Transporte,Variável,Gasolina,343.98
2024-01-24,Moradia,Fixo,Internet,20.36
2024-06-12,Lazer,Variável,Streaming,268.09
2024-11-19,Lazer,Variável,Cinema,219.77
2024-03-07,Lazer,Variável,Streaming,323.45
2024-03-06,Lazer,Variável,Streaming,72.3
2024-12-02,Lazer,Variável,Cinema,210.14
2024-01-21,Alimentação,Variável,Restaurante,309.38
2024-10-06,Saúde,Fixo,Farmácia,131.98
2024-04-15,Saúde,Fixo,Academia,329.77
2024-09-20,Moradia,Fixo,Internet,134.0
2024-08-07,Moradia,Fixo,Conta de Luz,309.9
2024-10-06,Moradia,Fixo,Internet,43.3
2024-11-30,Alimentação,Variável,Supermercado,94.49
2024-06-30,Saúde,Fixo,Consulta Médica,345.83
2024-04-07,Alimentação,Variável,Delivery,151.89
2024-01-28,Alimentação,Variável,Padaria,222.93
2024-08-13,Transporte,Variável,Gasolina,344.79
2024-10-16,Lazer,Variável,Cinema,47.89
2024-01-23,Transporte,Variável,Gasolina,202.56
2024-05-02,Moradia,Fixo,Conta de Luz,67.09
2024-02-01,Saúde,Fixo,Consulta Médica,264.98
2024-02-11,Saúde,Fixo,Farmácia,105.2
2024-07-26,Transporte,Variável,Gasolina,39.88
2024-03-27,Lazer,Variável,Streaming,337.61
2024-05-27,Transporte,Variável,Metrô,192.2
2024-10-11,Alimentação,Variável,Restaurante,71.63
2024-09-30,Lazer,Variável,Streaming,133.37
2024-02-04,Saúde,Fixo,Academia,211.06
2024-03-15,Transporte,Variável,Metrô,226.75
2024-05-24,Saúde,Fixo,Academia,184.91
2024-04-12,Saúde,Fixo,Academia,284.82
2024-03-18,Saúde,Fixo,Farmácia,207.91
2024-04-22,Alimentação,Variável,Supermercado,159.76
2024-12-27,Transporte,Variável,Uber,161.05
2024-10-21,Moradia,Fixo,Internet,242.18
2024-09-02,Moradia,Fixo,Aluguel,1672.93
2024-07-29,Saúde,Fixo,Academia,312.51
2024-02-03,Alimentação,Variável,Padaria,47.37
2024-07-25,Alimentação,Variável,Supermercado,103.06
2024-01-11,Lazer,Variável,Cinema,44.2
2024-09-01,Alimentação,Variável,Supermercado,300.47
2024-06-03,Alimentação,Variável,Delivery,69.48
2024-09-03,Saúde,Fixo,Farmácia,146.76
2024-03-01,Moradia,Fixo,Aluguel,1663.15
2024-02-24,Moradia,Fixo,Internet,126.46
2024-01-10,Transporte,Variável,Estacionamento,263.89
2024-08-28,Transporte,Variável,Gasolina,138.54
2024-06-13,Moradia,Fixo,Aluguel,2376.82
2024-07-07,Alimentação,Variável,Supermercado,313.62
2024-09-09,Moradia,Fixo,Condomínio,166.81
2024-01-10,Alimentação,Variável,Supermercado,164.36
2024-11-21,Lazer,Variável,Streaming,307.5
